ID;Categoria;Linea;Evidencia;Hallazgo;Riesgo;Severidad;Recomendacion
A11;Mantenibilidad;37;"mensaje.config(text=""Proceso terminado"")";La funcion de logica modifica directamente un widget global de la interfaz grafica.;La regla de negocio queda amarrada a Tkinter: no se puede probar ni reutilizar sin abrir la ventana.;Media;"Separar la logica (registrar, eliminar, calcular) de la capa de presentacion; que las funciones retornen valores."
A12;Validacion de datos;40;edad = int(entrada_edad.get());Se lee un campo del formulario y se usa sin verificar si esta vacio o si tiene el tipo esperado.;Se pueden almacenar registros incompletos o con datos sin sentido (nombre vacio, edad en letras) y el sistema igual informa exito.;Alta;Aplicar .strip() y rechazar la operacion cuando el campo quede vacio, mostrando un mensaje al usuario.
A13;Manejo de errores;40;edad = int(entrada_edad.get());Conversion de texto a numero entero sin proteccion try/except.;"Si el texto no es numerico, Python lanza ValueError y la aplicacion se detiene; los estudiantes que solo estaban en memoria se pierden.";Alta;Envolver la conversion en try/except ValueError y avisar al usuario en lugar de dejar caer el programa.
A14;Mantenibilidad;43;"mensaje.config(text=""Estudiante mayor de edad"")";La funcion de logica modifica directamente un widget global de la interfaz grafica.;La regla de negocio queda amarrada a Tkinter: no se puede probar ni reutilizar sin abrir la ventana.;Media;"Separar la logica (registrar, eliminar, calcular) de la capa de presentacion; que las funciones retornen valores."
A15;Mantenibilidad;45;"mensaje.config(text=""Estudiante menor de edad"")";La funcion de logica modifica directamente un widget global de la interfaz grafica.;La regla de negocio queda amarrada a Tkinter: no se puede probar ni reutilizar sin abrir la ventana.;Media;"Separar la logica (registrar, eliminar, calcular) de la capa de presentacion; que las funciones retornen valores."
A16;Gestion de archivos;48;"archivo = open(""estudiantes.txt"", ""w"")";Apertura de archivo sin bloque with y sin try/except. Ademas el modo 'w' sobrescribe el contenido anterior.;Si la ruta no existe o no hay permisos, el programa falla. Si la escritura se interrumpe, se pierde el archivo anterior y el nuevo queda incompleto.;Alta;Usar with open(...) dentro de try/except OSError y escribir primero en un archivo temporal antes de reemplazar.
A17;Seguridad de la informacion;51;"archivo.write(str(estudiante) + ""\n"")";Los datos personales se escriben en texto plano usando str() sobre el diccionario completo.;Nombre, documento de identidad, edad y programa quedan legibles para cualquier persona con acceso a la carpeta.;Alta;Guardar solo los datos necesarios, usar un formato controlado (CSV o JSON) y restringir permisos o cifrar el archivo.
A18;Mantenibilidad;53;"mensaje.config(text=""Información guardada"")";La funcion de logica modifica directamente un widget global de la interfaz grafica.;La regla de negocio queda amarrada a Tkinter: no se puede probar ni reutilizar sin abrir la ventana.;Media;"Separar la logica (registrar, eliminar, calcular) de la capa de presentacion; que las funciones retornen valores."
A19;Manejo de errores;General;No aparece ningun bloque try: en el archivo;El programa completo carece de manejo de excepciones.;Cualquier situacion inesperada (conversion invalida, fallo de disco) termina la aplicacion sin aviso ni registro.;Alta;Definir un manejo de errores minimo en las operaciones de conversion y de archivo.
A20;Gestion de archivos;General;No aparece 'with open(' ni 'close()' en el archivo;El archivo abierto en guardar_datos nunca se cierra de forma explicita ni con un administrador de contexto.;El contenido puede quedar en el bufer sin escribirse y el archivo bloqueado mientras la ventana siga abierta.;Media;Reemplazar open(...) por with open(...) para garantizar el cierre en todos los casos.
A21;Validacion de datos;General;No aparecen .strip() ni comprobaciones del tipo 'if not campo';No existe ninguna validacion de campos obligatorios en todo el programa.;La ausencia de validacion no es un error aislado sino un control que falta en el sistema completo.;Alta;Crear una funcion unica de validacion e invocarla desde registrar, eliminar y calcular.
A22;Seguridad de la informacion;General;No se importa ninguna libreria de proteccion de datos;No hay cifrado, control de acceso ni autenticacion para los datos personales que administra el sistema.;Cualquier usuario del equipo puede abrir, copiar o modificar los datos de los estudiantes.;Alta;Restringir el acceso al archivo y evaluar el cifrado de los campos sensibles, empezando por el documento.
